"period","indexName","subIndex","priceChange","totalValue","priceChangeWeighted"
2004-11-01,"Primary Producer Price Index","Commodity",0.919034,4796196667.9932,-0.007236
2004-11-01,"Primary Producer Price Index","Ore",0.962645,43414365205.6158,-0.030221
2004-11-01,"Primary Producer Price Index","Planetary Processed Materials",1.039514,1350503459.2474,0.000994
2004-11-01,"Primary Producer Price Index","Planetary Refined Commodities",1.087378,2539260362.7299,0.004134
2004-11-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.125138,1562057876.2387,0.003642
2004-11-01,"Secondary Producer Price Index","Blueprints",0.95983,79452938018.9157,-0.011868
2004-11-01,"Secondary Producer Price Index","Commodity",1.01721,110462723958.725,0.007069
2004-11-01,"Secondary Producer Price Index","Planetary Commodities",1.35143,984416018.5925,0.001286
2004-11-01,"Secondary Producer Price Index","Planetary Refined Commodities",0.551745,3076802960.3015,-0.005128
2004-11-01,"Secondary Producer Price Index","Planetary Specialized Commodities",1.047983,2852831655.2486,0.000509
2004-11-01,"Secondary Producer Price Index","Tech II construction components",0.833938,72078958778.7396,-0.044511
2004-12-01,"Consumer Price Index","Ammo",0.630065,28250837926.3971,-0.005939
2004-12-01,"Consumer Price Index","Boosters",0.996131,2520023.8224,0
2004-12-01,"Consumer Price Index","Commodity",0.915929,100470392764.211,-0.0048
2004-12-01,"Consumer Price Index","Drones",1.142262,9811293174.594,0.000793
2004-12-01,"Consumer Price Index","Ice Products",0.271617,894993098.4666,-0.00037
2004-12-01,"Consumer Price Index","Implants",2.094438,215286946880.217,0.133897
2004-12-01,"Consumer Price Index","Insignias",0.654478,7086465.3468,-0.000001
2004-12-01,"Consumer Price Index","Skills",0.966052,173805091656.181,-0.003353
2004-12-01,"Consumer Price Index","Starbase structures",0.959714,56835809418.4014,-0.001301
2004-12-01,"Consumer Price Index","Tech I modules",1.070738,149395850577.466,0.006005
2004-12-01,"Consumer Price Index","Tech I ships",1.024667,810058612743.916,0.011355
2004-12-01,"Consumer Price Index","Tech II modules",0.985377,150219629562.1,-0.001248
2004-12-01,"Consumer Price Index","Tech II ships",0.889748,64649105809.6849,-0.00405
2004-12-01,"Mineral Price Index","High-End Minerals",1.084665,533299629092.67,0.054782
2004-12-01,"Mineral Price Index","Low-End Minerals",1.072379,290894625784.337,0.025545
2004-12-01,"Primary Producer Price Index","Advanced Moon Materials",1.080206,570025619.2148,0.000432
2004-12-01,"Primary Producer Price Index","Alloys & Compounds",0.716585,14515.7229,0
2004-12-01,"Primary Producer Price Index","Commodity",1.02747,3959086670.8639,0.001028
2004-12-01,"Primary Producer Price Index","Ice",1.289014,4525601.7091,0.000012
2004-12-01,"Primary Producer Price Index","Ore",1.046351,37214114462.7299,0.01631
